Lake,Interval,Pb210,Pb210err,Bi214,Bi214err,UnsuppPb210,UnsuppPb210err
1,Top,2365,139.42,20.17,24.06,2344.83,163.48
1,Bottom,0,60.43,58.58,34.34,-58.58,94.77
2,Top,922.2,64.16,32.32,17.58,889.88,81.74
2,Bottom,0,33.75,11.64,18.99,-11.64,52.74
3,Top,615.24,70.65,60.58,28.99,554.66,99.64
3,Bottom,23.88,21,52.67,11.7,-28.79,32.7
4,Top,276.09,41.41,44.76,18.69,231.33,60.1
4,Bottom,0,63.42,24.66,36.42,-24.66,99.84
5,Top,370.3,36.54,45.98,9.55,324.32,46.09
5,Bottom,35.01,31.18,28.22,11.04,6.79,42.22
6,Top,249,32.41,57.92,9.94,191.08,42.35
6,Bottom,5.03,47.78,62.11,17.81,-57.08,65.59
7,Top,438.54,54.25,18.15,23.45,420.39,77.7
7,Bottom,0,44.06,36.88,23.86,-36.88,67.92
8,Top,537.02,49.15,69.62,12.37,467.4,61.52
8,Bottom,0,36.82,53.67,14.09,-53.67,50.91
9,Top,2624.26,175.9,116.87,23.65,2507.39,199.55
9,Bottom,103.14,58.78,80.09,21.81,23.05,80.59
10,Top,483.9,152.57,136.5,49.96,347.4,202.53
10,Bottom,23.73,29.89,48.9,10.99,-25.17,40.88
11,Top,585.39,47.05,23.72,9.54,561.67,56.59
11,Bottom,4.26,21.92,21.63,8.21,-17.37,30.13
12,Top,946.52,62.87,15.48,15.5,931.04,78.37
12,Bottom,16.08,26.05,25.19,14.24,-9.11,40.29
13,Top,1972.95,192.64,41.42,71.36,1931.53,264
13,Bottom,23.94,131.69,23.48,72.79,0.460000000000001,204.48
14,Top,98.87,17.75,72.42,9.05,26.45,26.8
14,Bottom,82.15,12.69,63.07,6.45,19.08,19.14
15,Top,844.6,63.96,33.44,19.86,811.16,83.82
15,Bottom,50.56,43.23,27.91,22.79,22.65,66.02
16,Top,1229.02,144.16,110.65,38.43,1118.37,182.59
16,Bottom,0,83.44,84.04,30.21,-84.04,113.65
17,Top,827.88,105.65,95.61,29.68,732.27,135.33
17,Bottom,24.75,50.89,58.72,18.51,-33.97,69.4
18,Top,1584.09,117.78,38.3,33.96,1545.79,151.74
18,Bottom,0,73.75,23.44,42.76,-23.44,116.51
19,Top,385.56,118.27,135.45,38.03,250.11,156.3
19,Bottom,17.44,35.8,56.33,13.2,-38.89,49
20,Top,674.16,60.57,47.16,14.69,627,75.26
20,Bottom,23.16,35.23,63.99,13.31,-40.83,48.54
