LAKENAME,VWHO,TANYSL,TANYCH,TANYLU,CLDTYA,CLDTYM,MICROP,STMPLN,STMPLL,PSEDCH,CHIRON,CHIRS1,CLADOP,CRYPCH,CYPHOM,DICROT,ENDOCH,GLYPTO,LAUTER,MICROT,PGASTL,PARACH,PARALA,PARATE,POLYPE,SERGEN,STICTO,PROCLD,PENTAN,NILOTA,PROTAN,CORYTH,CRICOR,EUKIEF,HTRTRS,LIMNOP,NANOCL,PARAKB,PARAKA,PSECTM,PSECTP,PSDSMA,SYNORT,ZALUTZ,ZALUTS,C.TOT
TwelveMile,6.98,26.78,0,1.09,0,0,51.91,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,2.19,0,0,0,4.92,0,1.09,0,0,0,1.09,0,0,0,0,0
Basshaunt,3.81,12.22,0,0,0,0,0,1.11,0,1.11,2.22,2.22,0,0,0,2.22,2.22,0,2.22,3.33,0,4.44,2.22,0,6.67,24.44,0,2.22,4.44,0,0,6.67,0,1.11,5.56,0,0,4.44,0,0,0,0,0,0,0,8.89
Bigwind,5.98,23.15,0,0,3.7,0,5.56,6.48,0,2.78,1.85,0,0,0,0,3.7,0,0,0,1.85,1.85,0,0,0,3.7,5.56,1.85,3.7,5.56,1.85,0,11.11,0,0,3.7,0,0,3.7,0,0,0.93,0,0,0.93,0,1.85
BlueChalk,6.1,16.36,1.82,1.82,1.82,0,7.27,0,1.82,0.91,1.82,1.82,1.82,0,0,0,0,0,0,0,0,1.82,0,0,1.82,3.64,1.82,5.45,7.27,0,0,12.73,3.64,0,10,0,0,0,3.64,0,0,0,1.82,0,0,3.64
Boshkung,8.67,30.93,0,0,0,0,9.28,0,0,0,0,0,0,1.03,2.06,0,0,3.09,0,0,0,0,0,0,0,0,0,2.06,8.25,0,2.06,2.06,5.15,1.03,26.8,0,0,1.03,4.12,0,0,0,0,0,0,0
Buck,4.65,21.35,0,4.49,0,0,8.99,0,4.49,0,2.25,2.25,0,0,2.25,8.99,0,0,4.49,0,2.25,0,0,0,0,2.25,0,0,13.48,0,2.25,4.49,0,0,7.87,0,0,0,0,0,2.25,0,2.25,0,0,1.12
Canning,2.31,9.04,0,0,0,0,33.9,0,1.13,1.13,1.13,0,0,0,0,2.26,0,0,0,0,0,1.13,0,0,0,4.52,1.13,4.52,6.78,0,0,2.26,0.56,0,7.91,0,0,6.78,0,1.13,1.13,0,0.56,0,0,10.73
Clear,8.58,9.45,0,0,0,0,4.48,1,1.49,1.24,1.99,0,0,0.5,0.5,1,0.5,0,0,0.75,0.5,0,0.5,0,1,33.58,0,6.47,3.98,0,1,4.48,2.99,0,6.72,0,0,0.5,0,0.25,2.49,0,0,0,1.74,7.96
Crosson,3.71,14.95,1.87,0,0,0,3.74,0,1.87,2.8,0,11.21,0,0,1.87,2.8,0,0,0,1.87,0,0,0,0,7.48,16.82,0,7.48,1.87,0,0,1.87,2.8,0,2.8,0,0,0,0,1.87,0,1.87,0,0,3.74,8.41
Dickie,1,16.11,0.47,0,0,0,3.32,0.95,8.06,1.42,0,0.95,0.95,0.95,0,4.74,0,0.47,0,0.47,0,0.95,0,0.95,2.84,0,0.95,6.64,3.79,0,0,9.48,4.74,0,7.58,0,0.95,1.42,0,0.95,2.37,0,0.47,1.42,0.95,8.06
Eagle,4.15,10.71,0,0,0,0,21.43,1.79,0,0,5.36,7.14,0,0,0,0,0,0,1.79,0,1.79,0,0,0,0,12.5,0,0,8.93,0,0,1.79,1.79,1.79,8.93,0,0,5.36,0,1.79,5.36,0,0,0,1.79,0
FrazerIsland,10.75,16.24,0.85,0,0,0,18.38,0.85,0.85,1.28,2.56,0,0,1.28,0.85,3.42,0,0,0,0.43,0,0,0,0,0,5.13,0,0.85,0.85,0,2.56,2.56,1.28,0.43,26.92,0,0.85,1.71,3.42,0,1.28,0.85,0,0,0,0
Haliburton,8.65,15.22,4.35,0,0,0,15.22,0,0,2.17,2.17,0,0,1.09,0,4.35,0,0,0,0,0,0,0,0,2.17,5.43,0,9.78,10.87,0,0,4.35,2.17,0,15.22,0,0,0,0,0,0,0,0,0,0,3.26
Hall's,9.39,23.33,0.95,1.9,1.9,0,11.43,0.95,0,0,0,0,0,0.95,1.9,1.9,0,0,0,0,0,0,0,0,0,5.24,0.95,0,1.9,0,0.95,1.9,1.9,0.95,31.43,0,1.9,0,4.76,0,0,0,0,0,0.95,0.48
HamerBay,10.53,10.48,1.61,0,0.54,1.61,13.17,0,0,0.81,2.69,0,0,0,0.54,5.11,0,0,0,2.15,0,0.54,0,0,1.08,6.72,1.08,1.34,2.69,0,4.03,2.69,1.08,0,30.65,0,0,1.08,3.76,0,0.81,0,1.34,0,0,0
HammelBay,0.29,5,0,0,0,3.33,0,0,1.67,1.67,17.5,1.67,0,0,0,1.67,0,0,0,0,0,0,0,0,1.67,0,1.67,16.67,1.67,0,1.67,3.33,4.17,1.67,1.67,0,2.5,0,0,1.67,0,0,1.67,2.5,0,24.17
Harp,5.14,13.53,3.53,0,0,0,10,2.35,4.12,0,15.29,0,0,0,0,5.88,0,1.18,0,2.35,0,0,0,0,4.71,8.24,0.59,1.18,2.35,0,2.35,3.53,0.59,0,5.29,0,0,0,1.18,0,3.53,0,2.35,0,0,1.18
KashagawigamogS,7.97,20,0,0,0,0,40,0,0,2.5,2.5,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0,2.5,12.5,0,0,0,2.5,0,0,5,0,0,0,0,0,2.5,0,0,0,0,0
Kelly,7.83,12.59,0,0,0,1.48,19.26,2.22,2.96,0,0,0,0,0,0,2.96,0,0,0,2.96,0,0,0,0,2.96,11.85,1.48,4.44,8.89,0,0,4.44,1.48,0,11.85,0,0,0,0,0,1.48,0,0,0,0,0
Kennisis,9.52,11.46,0,0,0,0,26.75,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,4.46,1.27,5.73,0,0,3.82,0,0,0,42.68,0,0,0,0,0,0,0,0,0,0,0
KushogS,5.29,9.03,1.29,0,0,0,43.87,0,2.58,0,1.29,0,0,1.29,0,2.58,0,0,0,3.87,0,1.29,0,1.29,1.29,5.81,0,5.16,2.58,0,1.29,2.58,2.58,0.65,1.94,0,0,0,0,0,0,2.58,0,0,0,0
LittleClear,1.24,30.4,4.8,0,2.4,1.6,0,1.6,3.2,0.8,3.2,0,1.6,0,0,0,0,0,0,6.4,3.2,0,0,0,6.4,0,0,8,8,1.6,0,3.2,0,0,2.4,0,0,0,0,1.6,0.8,0,0,0,0,5.6
Leech,1.54,21.29,0.76,0,0,0,1.9,0,0.76,1.52,2.28,3.8,0.76,0,0,4.94,0,0,0,0.76,0.76,0,0,0,0.76,2.28,0.76,4.56,7.6,0,0.76,3.8,2.28,0,7.6,0,0,4.56,0,2.28,6.46,0,1.9,0.38,2.28,9.89
Leonard,4.37,13.67,0,0,0,0,5.76,0,0,1.44,7.19,0,0,0,1.44,1.44,0,0,0,2.16,0,0,0,0,1.44,20.86,0,2.88,8.63,0,0.72,0.72,2.16,0,9.35,0,1.44,2.16,0,0,2.16,0,1.44,0,0,7.19
McKay,2.11,27.7,0,0,1.35,0,0,2.7,5.41,0.68,0,0,2.7,0,2.7,2.7,1.35,0,1.35,2.7,0,1.35,0,0,1.35,0,0,9.46,5.41,0,0,1.35,2.7,0,4.73,0,0,1.35,0,2.7,3.38,0,0,0,4.05,10.81
Plast,2.94,17.85,1.01,0,0,0,36.87,0.34,1.68,0.34,2.36,0,0,0,0.67,1.52,0,0.67,0,0.84,0,0,0,0,1.18,10.94,0,1.01,1.35,0,1.68,1.01,0,0,8.08,0,0.17,0.34,0,1.68,0.51,0,0.51,0,1.68,2.86
RedChalkE,0.38,16.27,0.96,0.96,0,0,12.44,1.91,0,0,0.96,2.87,0,0.96,0.96,2.87,0,0,1.91,0,0.96,0,0,0.48,3.83,7.66,0.96,0,4.78,0,0.96,8.61,0.48,0,9.57,0.96,0,3.35,0.48,0.96,1.91,0.96,0.96,0,0.96,0.48
RedChalkMain,6.54,14.12,0.76,0.76,2.29,0,3.44,4.58,4.2,0,2.29,3.05,1.53,2.29,0,3.82,0,0.76,0.76,1.53,0.76,0,0,0,1.91,5.73,0.76,4.58,9.92,0.76,0,9.92,0,0,0.76,0,0.76,1.15,0,0.76,1.53,0,1.53,0,0,6.49
Redstone,9.21,10.37,0,0,0,0,35.98,0,0,0,0,0,0,1.22,0,0,0,0,0,0,1.22,0,0,0,0,2.44,1.22,2.44,0,0,7.32,0,1.22,0,32.32,0,0,1.22,0,0,1.83,0,0,0,0,0
RoothogIsland,10.28,15.05,1.08,0,0,0,12.37,0,1.08,1.08,0,0,0,0,2.15,3.23,0,0,0,0,0,0,0,0,2.15,1.08,0,1.08,2.15,0,9.68,2.15,1.08,0,36.02,0,0,3.23,3.23,0,2.15,0,0,0,0,0
SeagullRock,9.68,6.9,0,0,0,0,27.59,0,0,0,3.45,0,0,0,0,0,0,2.3,0,0,0,0,0,0,2.3,3.45,0,0,0,0,12.64,2.3,0,0,36.78,0,0,0,0,0,2.3,0,0,0,0,0
Solitaire,8.16,27.74,0,0,1.46,0,5.84,0,0,0.73,2.92,1.46,0,3.65,0,0,0,0,0,0,0,0,1.46,0,13.14,0,0,6.57,8.76,1.46,0,2.92,2.92,0,8.76,0,0,1.46,0,1.46,4.38,0,0,0,2.92,0
Walker,1.31,21.47,0,0,0,0,11.86,0.24,0.24,0.24,28.94,1.19,0,0.12,0,1.07,0,0.24,0.24,0.83,0.24,0.24,0,0,0.24,4.39,0,4.63,2.37,0,0.24,1.19,0.59,0,0.47,0,0,0.47,0,0.71,1.19,0,0.12,0.12,0.71,13.76
Beech,6.06,14.16,0,1.77,1.77,1.77,36.28,0,1.77,0,0,3.54,0,0,0,0,0,3.54,0,0,1.77,0,0,0,0,7.08,0,5.31,0,0,1.77,7.08,5.31,0,1.77,0,0,1.77,0,0,0,0,1.77,0,0,0
BigBrother,1.88,17.65,3.36,0,1.68,0,1.68,0,0.84,0,0,3.36,0,3.36,0,5.04,0,0,0,3.36,1.68,0,0,0,0,4.2,0,5.04,11.76,0,0,5.04,3.36,0,1.68,0,0,4.2,0,1.68,3.36,0,0.84,0,0,15.97
Horseshoe,3.98,26.49,2.65,0,0,3.97,1.32,3.31,0,0,1.32,0,0,0,0,1.32,0,0,0,0,0,1.32,0,2.65,1.32,3.97,0,13.25,7.95,0,1.32,0,5.3,0,5.3,0,3.97,3.97,0,2.65,2.65,0,1.32,0,0,1.32
LittleHawk,9.29,10.64,1.42,0,0,1.42,9.22,1.42,0,0.71,5.67,0,0,0,1.42,0,0,0,0,0,0,0,0,1.42,1.42,24.82,0,0,1.42,0,7.09,2.84,1.42,0,19.15,2.13,0,0.71,1.42,0,1.42,0,1.42,0,0,0.71
Margaret,7.04,10.83,0.72,0,0,0,41.88,0,0,0.72,2.17,0,0,0,1.44,0,0,1.44,0.72,0.72,0,0,0,0,0.72,15.88,0.72,1.44,2.17,0,0.72,1.44,0.72,0,14.8,0,0,0,0.36,0,0.36,0,0,0,0,0
Marsden,4.44,7.53,0.84,0.84,0.84,0,5.02,1.67,0,0,0.84,0.84,0.84,0.84,0.84,0.84,0,0.84,0,1.67,0,0,0,0,0.84,20.5,0,1.67,5.02,0,1.67,6.69,0.84,0.84,17.15,1.26,0,1.67,4.6,0,3.35,0,0.84,0,2.51,2.09
Mountain,7.29,16.2,0,0,0,0,56.34,0,0,0.7,0,1.41,0,0,0,0.7,1.06,0,0.7,0,0,0,0,0,0,8.8,0,0,1.06,0,1.76,0.7,1.06,0,7.75,0,0,1.41,0.35,0,0,0,0,0,0,0
Nunikani,7.05,11.4,0,0,0,0,17.54,1.75,0,0,1.75,1.75,0,0,0,3.51,0,1.75,0,0,1.75,0,0,0,1.75,12.28,0,7.02,5.26,0,0,8.77,1.75,0,8.77,0.88,0.88,0,0,0,3.51,0,0,0,0,4.39
Pine,1.44,1.65,0,0,0,0,10.74,0,1.65,0,9.92,0,0,0,0,3.31,0,1.65,0,0,0,0,0,0,1.65,0,0,26.45,5.79,3.31,0,3.31,1.65,1.65,2.48,0,1.65,0,0,0,1.65,0,0,4.96,0,14.88
PokerMain,0.5,12.2,1.22,0,0,0,0,0,0,1.83,3.66,4.88,0,1.22,0,0,3.66,7.32,2.44,0.61,0,2.44,0,0,6.1,3.66,0,3.66,9.76,0,0,2.44,4.88,1.22,5.49,0.61,1.22,6.71,0,0,0,1.22,0.61,1.83,1.22,3.05
PokerE,0.65,8.9,0,0,0,0,0,0,0,0,1.37,6.85,1.37,0,0,6.85,2.74,3.42,1.37,7.53,0,0,0,0,2.74,1.37,0,4.11,4.11,2.74,0,9.59,4.11,1.37,2.05,1.37,3.42,4.11,0,2.05,2.74,0,0,0,0,4.11
Art,2.31,27.12,0,1.69,1.69,1.69,10.17,0,0,1.69,5.08,3.39,0,0,0,0,0,0,0,1.69,0,1.69,0,0,0,6.78,0,3.39,8.47,0,0,5.08,1.69,0,5.93,0,1.69,0,0,0,0,0,0,2.54,0,3.39
Bitter,0.16,6.81,0.85,1.7,0,0.85,3.4,0.43,3.4,0.85,6.81,0.85,0.85,0.85,0.85,1.7,0.85,4.26,0,0,0,0,0,0,0.85,6.38,0,11.06,7.66,0,1.7,3.4,3.4,0,8.94,0,1.7,2.55,0,0,1.28,0,0,2.13,0,9.36
Davis,2.88,13.95,0,1.55,0,2.33,19.38,0,0,2.33,7.75,4.65,0,0,1.55,3.88,0,0,0,0,0,0,0,0,0,13.95,1.55,1.55,3.1,0,0,3.88,3.1,0.78,6.2,3.1,0,2.33,0,0,0.78,0,0,0,0,0.78
Esson,6.78,9.8,0,0,0,0,20.92,0,1.31,1.31,1.31,1.31,0,0,0,2.61,1.31,0.65,0,5.23,1.31,0,0,1.31,1.31,14.38,1.31,5.23,3.92,0,0,6.54,2.61,0.65,4.58,0,0,1.31,0,0,1.31,0,0,0,0,6.54
Glamor,2.83,3.33,0,0,0,3.33,3.33,0,0,0,3.33,0,1.67,1.67,0,3.33,0,0.83,0,0,0,0,0,5,0,20,0,6.67,3.33,0,0,3.33,5,1.67,5.83,0,0,0,0,1.67,0.83,0,0,0,0,24.17
Gooderham,3.16,20.41,0,0,0,0,4.08,2.04,0,0,0,4.08,0,0,0,0,0,0,0,2.04,4.08,0,0,0,0,8.16,2.04,2.04,8.16,0,0,14.29,2.04,0,0,0,0,13.27,0,0,8.16,0,2.04,0,0,1.02
Hudson,6.12,7.18,0,0,1.03,0,16.92,0,1.03,1.54,1.03,3.08,0,0,0,0,0,0,0,1.03,0,0,0,0,1.03,36.92,1.03,4.1,8.21,0,1.03,1.03,0,0,5.13,0,1.54,3.08,0,1.03,0.51,0,1.03,0,0,0
Long,1.59,19.51,0,1.63,1.63,0,1.63,0,1.63,0,1.63,1.63,0,3.25,1.63,4.88,1.63,1.63,1.63,0,0,1.63,1.63,0,1.63,3.25,1.63,3.25,6.5,0,0,6.5,4.88,0,0,0,3.25,1.63,0,0,0,0,0,0,0,18.7
McFadden,6.2,6.32,0,0.38,0,0,31.8,0.96,1.53,0.38,2.3,0.77,0,0.77,0.77,1.53,0,0,0.38,0,0,0,0.38,0,0,13.6,0,2.3,2.3,0,0.38,3.45,0.77,0.38,18.77,0,0,0,0.38,0,1.34,0,0.96,0,0,3.45
Wilbermere,2.97,18,0,0,4,4,6,0,2,0,2,0,0,0,2,8,0,0,2,0,0,0,0,0,6,2,2,2,10,0,0,10,6,0,1,0,6,0,0,2,0,0,0,0,0,1
